user_id,event_dt,revenue
771951256319,2024-04-01 05:56:26,2.99
829942381059,2024-04-01 14:55:02,2.99
727879856738,2024-04-01 22:15:09,14.99
481270888930,2024-04-01 06:05:14,2.99
844695029762,2024-04-01 01:19:52,2.99
601982992004,2024-04-01 19:02:56,2.99
373037757367,2024-04-01 21:48:58,2.99
588009939701,2024-04-01 06:32:32,4.49
550254063862,2024-04-01 18:53:41,4.49
328482322349,2024-04-01 04:47:07,2.99
267752720888,2024-04-01 10:21:34,2.99
150256217506,2024-04-01 02:31:36,2.99
677687605139,2024-04-01 00:53:40,2.99
998429147130,2024-04-01 19:21:15,4.49
570274684514,2024-04-02 20:05:00,2.99
806481384856,2024-04-02 04:04:17,2.99
481270888930,2024-04-02 23:40:32,2.99
373037757367,2024-04-02 06:59:03,2.99
588009939701,2024-04-02 19:57:32,2.99
150256217506,2024-04-02 13:27:11,2.99
324138184367,2024-04-02 01:23:26,2.99
634094513904,2024-04-02 13:00:36,2.99
460699293413,2024-04-02 13:48:45,2.99
666145871689,2024-04-02 07:56:19,2.99
787738461582,2024-04-02 12:05:36,2.99
389967162324,2024-04-02 03:05:51,2.99
658485861888,2024-04-02 12:16:12,2.99
516963432681,2024-04-02 16:50:35,2.99
867537558832,2024-04-02 13:27:15,2.99
250782536381,2024-04-02 07:42:21,2.99
646830455674,2024-04-02 19:06:56,2.99
609057839917,2024-04-02 17:20:08,2.99
974355444687,2024-04-02 01:27:59,2.99
982645362096,2024-04-02 02:45:19,2.99
214745365801,2024-04-02 22:50:31,2.99
873143968569,2024-04-02 23:34:46,2.99
498436194653,2024-04-02 00:34:39,29.99
457769106404,2024-04-02 15:21:42,2.99
715346471292,2024-04-02 13:47:12,7.99
85074510533,2024-04-02 12:21:25,2.99
712126675328,2024-04-02 04:12:28,4.49
637492425362,2024-04-02 11:55:30,2.99
528227481770,2024-04-02 03:06:59,2.99
238793124843,2024-04-02 16:13:34,2.99
289870437321,2024-04-02 02:16:55,2.99
104210616311,2024-04-02 11:36:32,4.49
233829774683,2024-04-02 13:48:29,2.99
968397552178,2024-04-02 21:51:15,2.99
